"resid","storage","storagemax"
"reservoir.1647",6.64835308313514e-17,8202.642
"reservoir.1648",0,167753.28
"reservoir.1649",17.907367148403,14431.716
"reservoir.165",0,184528.608
"reservoir.1650",1.84955275081517e-13,26519.82
"reservoir.1651",1510.93154038126,11101.32
"reservoir.1652",0,29403.69624
"reservoir.1653",1.41662743507857e-17,79929.504
"reservoir.1654",0,9559.47
"reservoir.1655",0,7382.3778
"reservoir.1656",0,2545902.72
"reservoir.1657",2.65934123325421e-16,56370.036
"reservoir.1658",0,11224.668
"reservoir.1659",0,15800.8788
"reservoir.166",0,34475.766
"reservoir.1660",7912.07044500688,10008.45672
"reservoir.1661",0,30680.34804
"reservoir.1662",0,1277761.932
"reservoir.1663",8.24298248872567,50942.724
"reservoir.1664",86.3312946051185,8511.012
"reservoir.1665",430.923817646856,327242.244
"reservoir.1666",0,2552563.512
"reservoir.1667",0,321269.7338
"reservoir.1668",0,18872.244
"reservoir.1669",73388.720031932,350888.0556
"reservoir.167",0.856462118240518,6595.41756
"reservoir.1670",4.20661244629229e-13,236828.16
"reservoir.1671",6119.79114316506,7103.61132
"reservoir.1672",0,56071.53384
"reservoir.1673",0,27906.25152
"reservoir.1674",0,30476.82384
"reservoir.1675",0,107592.76
"reservoir.1676",0,192422.88
"reservoir.1677",1.98296456111271e-17,64140.96
"reservoir.1678",0,14555.064
"reservoir.1679",0,14721.5838
"reservoir.168",7368.38224995097,77141.8392
"reservoir.1680",0,172687.2
"reservoir.1681",0,1392598.92
"reservoir.1682",0,65695.1448
